bedrooms,bathrooms,toilets,parking_space,title,town,state,price,log_price,state_enc,town_enc,title_enc,cluster
3,4,4,8,Block of Flats,Ikoyi,Lagos,230000000.0,19.253589871235295,1,43,0,2
5,5,6,4,Semi Detached Duplex,Lekki,Lagos,85000000.0,18.258161826219297,1,71,4,3
4,5,5,4,Detached Bungalow,Ibeju Lekki,Lagos,31000000.0,17.249497794707484,1,33,1,2
4,4,5,2,Terraced Duplexes,Lekki,Lagos,50000000.0,17.72753358339242,1,71,6,3
5,5,6,4,Detached Duplex,Ikoyi,Lagos,900000000.0,20.617905322399697,1,43,2,0
5,6,6,4,Detached Duplex,Ikoyi,Lagos,1700000000.0,21.253894088596816,1,43,2,0
5,6,7,4,Detached Duplex,Lekki,Lagos,135000000.0,18.72078534381011,1,71,2,0
4,5,5,4,Detached Duplex,Lekki,Lagos,230000000.0,19.253589871235295,1,71,2,0
4,5,5,4,Detached Duplex,Lokogoma District,Abuja,30000000.0,17.216707972959764,0,73,2,1
5,5,6,4,Detached Duplex,Lekki,Lagos,100000000.0,18.420680753952364,1,71,2,0
7,5,5,4,Detached Duplex,Ikoyi,Lagos,1800000000.0,21.311052502404085,1,43,2,0
4,4,5,4,Detached Duplex,Lekki,Lagos,70000000.0,18.064005814299346,1,71,2,0
3,3,4,4,Detached Bungalow,Ibeju Lekki,Lagos,12000000.0,16.300417291085605,1,33,1,2
2,2,3,4,Terraced Duplexes,Ibeju Lekki,Lagos,75000000.0,18.132998684833918,1,33,6,3
5,5,6,6,Semi Detached Duplex,Ibeju Lekki,Lagos,49000000.0,17.707330876483063,1,33,4,3
5,5,6,2,Detached Duplex,Maitama District,Abuja,500000000.0,20.030118658386467,0,77,2,1
4,3,4,2,Terraced Duplexes,Wuye,Abuja,60000000.0,17.909855136853043,0,99,6,1
4,5,5,4,Detached Duplex,Life Camp,Abuja,150000000.0,18.826145858727198,0,72,2,1
5,5,6,4,Detached Duplex,Lekki,Lagos,230000000.0,19.253589871235295,1,71,2,0
5,5,6,4,Detached Duplex,Ikoyi,Lagos,750000000.0,20.435583765827964,1,43,2,0
5,5,6,5,Detached Duplex,Lekki,Lagos,135000000.0,18.72078534381011,1,71,2,0
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,200000000.0,19.11382792951231,1,71,4,3
6,7,7,4,Detached Duplex,Lekki,Lagos,200000000.0,19.11382792951231,1,71,2,0
5,5,6,1,Detached Duplex,Katampe,Abuja,420000000.0,19.85576527162264,0,61,2,1
4,4,5,3,Detached Duplex,Lekki,Lagos,85000000.0,18.258161826219297,1,71,2,0
5,5,6,4,Detached Duplex,Magodo,Lagos,235000000.0,19.275096076363752,1,76,2,0
6,6,7,1,Detached Duplex,Katampe,Abuja,280000000.0,19.450300164704952,0,61,2,1
4,4,4,4,Terraced Duplexes,Lekki,Lagos,65000000.0,17.989897843244528,1,71,6,3
4,4,5,3,Terraced Duplexes,Jahi,Abuja,65000000.0,17.989897843244528,0,51,6,1
3,3,4,8,Detached Bungalow,Ibeju Lekki,Lagos,30000000.0,17.216707972959764,1,33,1,2
7,7,8,5,Detached Duplex,Ikoyi,Lagos,900000000.0,20.617905322399697,1,43,2,0
4,5,5,4,Terraced Duplexes,Asokoro District,Abuja,75000000.0,18.132998684833918,0,7,6,1
3,3,4,1,Detached Duplex,Lekki,Lagos,2000000000.0,21.416413018006356,1,71,2,0
4,5,5,4,Detached Duplex,Ajah,Lagos,65000000.0,17.989897843244528,1,2,2,2
6,6,6,1,Semi Detached Duplex,Lekki,Lagos,40000000.0,17.50439003707821,1,71,4,3
4,5,5,4,Terraced Duplexes,Ikeja,Lagos,80000000.0,18.197537205138154,1,40,6,3
5,5,6,1,Detached Duplex,Lekki,Lagos,190000000.0,19.06253463538792,1,71,2,0
5,5,6,4,Semi Detached Duplex,Lekki,Lagos,140000000.0,18.757152987716434,1,71,4,3
5,5,6,4,Detached Duplex,Ajah,Lagos,80000000.0,18.197537205138154,1,2,2,2
4,5,5,4,Detached Duplex,Lekki,Lagos,80000000.0,18.197537205138154,1,71,2,0
5,5,5,4,Detached Duplex,Lekki,Lagos,90000000.0,18.31532023940565,1,71,2,0
5,5,5,4,Detached Duplex,Lekki,Lagos,270000000.0,19.413932520666354,1,71,2,0
4,4,5,2,Terraced Duplexes,Lekki,Lagos,55000000.0,17.822843761378564,1,71,6,3
3,4,5,3,Detached Bungalow,Lokogoma District,Abuja,25000000.0,17.034386422832473,0,73,1,1
5,5,6,6,Detached Duplex,Lekki,Lagos,82000000.0,18.22222981742365,1,71,2,0
6,6,7,6,Detached Duplex,Ikoyi,Lagos,1300000000.0,20.985630102183134,1,43,2,0
5,5,5,4,Detached Duplex,Lekki,Lagos,320000000.0,19.583831556883045,1,71,2,0
5,5,6,4,Detached Duplex,Lekki,Lagos,470000000.0,19.96824325479604,1,71,2,0
5,6,6,6,Detached Duplex,Lekki,Lagos,300000000.0,19.519293035953808,1,71,2,0
7,5,5,4,Detached Duplex,Victoria Island (VI),Lagos,250000000.0,19.33697147982652,1,95,2,0
5,5,5,6,Detached Duplex,Ifako-Ijaiye,Lagos,18000000.0,16.705882371415992,1,36,2,2
4,4,5,1,Detached Duplex,Ikotun,Lagos,62000000.0,17.9426449591384,1,42,2,2
4,5,5,5,Terraced Duplexes,Life Camp,Abuja,45000000.0,17.622173069956816,0,72,6,1
5,5,6,6,Detached Duplex,Wuye,Abuja,170000000.0,18.951309000896888,0,99,2,1
5,5,5,4,Detached Duplex,Wuse 2,Abuja,420000000.0,19.85576527162264,0,98,2,1
2,2,2,4,Terraced Duplexes,Ajah,Lagos,38000000.0,17.453096744006448,1,2,6,3
5,5,6,4,Detached Duplex,Garki,Abuja,300000000.0,19.519293035953808,0,26,2,1
5,5,6,4,Detached Duplex,Lekki,Lagos,130000000.0,18.683045016112164,1,71,2,0
4,4,5,4,Detached Duplex,Ajah,Lagos,59000000.0,17.893048018819147,1,2,2,2
5,5,6,5,Detached Duplex,Lekki,Lagos,320000000.0,19.583831556883045,1,71,2,0
5,5,5,8,Detached Duplex,Ajah,Lagos,37000000.0,17.426428497635523,1,2,2,2
5,5,6,5,Detached Duplex,Isheri North,Lagos,75000000.0,18.132998684833918,1,48,2,0
5,5,6,4,Detached Duplex,Lekki,Lagos,120000000.0,18.603002309079653,1,71,2,0
4,5,5,3,Terraced Duplexes,Ajah,Lagos,40000000.0,17.50439003707821,1,2,6,3
5,5,6,4,Semi Detached Duplex,Victoria Island (VI),Lagos,230000000.0,19.253589871235295,1,95,4,3
4,4,5,4,Terraced Duplexes,Lekki,Lagos,65000000.0,17.989897843244528,1,71,6,3
7,7,7,8,Detached Duplex,Lekki,Lagos,380000000.0,19.755681813316283,1,71,2,0
5,5,5,6,Detached Duplex,Lekki,Lagos,280000000.0,19.450300164704952,1,71,2,0
5,5,6,4,Detached Duplex,Ikoyi,Lagos,900000000.0,20.617905322399697,1,43,2,0
4,4,5,4,Terraced Duplexes,Lekki,Lagos,55000000.0,17.822843761378564,1,71,6,3
5,5,6,4,Detached Duplex,Lekki,Lagos,120000000.0,18.603002309079653,1,71,2,0
3,3,3,4,Block of Flats,Isolo,Lagos,50000000.0,17.72753358339242,1,49,0,2
6,6,7,8,Detached Duplex,Lekki,Lagos,410000000.0,19.831667720101652,1,71,2,0
5,5,6,4,Detached Duplex,Lekki,Lagos,135000000.0,18.72078534381011,1,71,2,0
4,4,5,4,Detached Duplex,Ikoyi,Lagos,280000000.0,19.450300164704952,1,43,2,2
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,80000000.0,18.197537205138154,1,71,4,3
3,4,4,5,Block of Flats,Garki,Abuja,450000000.0,19.92475814295086,0,26,0,1
5,5,6,5,Detached Duplex,Lekki,Lagos,115000000.0,18.560442695023177,1,71,2,0
4,4,5,4,Detached Duplex,Ikoyi,Lagos,200000000.0,19.11382792951231,1,43,2,2
5,5,6,6,Detached Duplex,Lekki,Lagos,75000000.0,18.132998684833918,1,71,2,0
5,6,6,4,Detached Duplex,Lekki,Lagos,250000000.0,19.33697147982652,1,71,2,0
4,4,6,4,Semi Detached Duplex,Victoria Island (VI),Lagos,100000000.0,18.420680753952364,1,95,4,3
5,7,7,5,Detached Duplex,Ikoyi,Lagos,1500000000.0,21.12873094572124,1,43,2,0
3,3,4,4,Semi Detached Duplex,Lekki,Lagos,45000000.0,17.622173069956816,1,71,4,3
7,7,6,3,Detached Duplex,Lekki,Lagos,320000000.0,19.583831556883045,1,71,2,0
5,5,6,6,Detached Duplex,Lekki,Lagos,280000000.0,19.450300164704952,1,71,2,0
3,3,3,4,Detached Bungalow,Ipaja,Lagos,15000000.0,16.52356082573315,1,46,1,2
5,5,5,4,Detached Duplex,Galadimawa,Abuja,180000000.0,19.00846741441004,0,25,2,1
5,6,6,4,Detached Duplex,Ikoyi,Lagos,600000000.0,20.21244021484709,1,43,2,0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,135000000.0,18.72078534381011,1,71,4,3
3,4,4,3,Terraced Duplexes,Lekki,Lagos,70000000.0,18.064005814299346,1,71,6,3
3,3,3,4,Detached Bungalow,Lekki,Lagos,34000000.0,17.341871111992198,1,71,1,0
3,4,4,4,Terraced Duplexes,Lekki,Lagos,40000000.0,17.50439003707821,1,71,6,3
4,4,5,4,Semi Detached Duplex,Asokoro District,Abuja,600000000.0,20.21244021484709,0,7,4,1
3,3,4,3,Terraced Duplexes,Lekki,Lagos,430000000.0,19.879295768977464,1,71,6,3
5,5,6,4,Detached Duplex,Ikoyi,Lagos,1600000000.0,21.193269466817146,1,43,2,0
5,7,7,4,Detached Duplex,Lekki,Lagos,94000000.0,18.358805350872576,1,71,2,0
4,4,5,3,Terraced Duplexes,Lekki,Lagos,150000000.0,18.826145858727198,1,71,6,3
2,2,2,2,Block of Flats,Ikorodu,Lagos,12000000.0,16.300417291085605,1,41,0,2
5,5,6,4,Semi Detached Duplex,Lekki,Lagos,265000000.0,19.39524038772408,1,71,4,3
5,6,6,4,Detached Duplex,Lekki,Lagos,85000000.0,18.258161826219297,1,71,2,0
5,6,6,4,Detached Duplex,Lekki,Lagos,300000000.0,19.519293035953808,1,71,2,0
5,5,6,4,Detached Duplex,Galadimawa,Abuja,35000000.0,17.370858648025116,0,25,2,1
7,7,8,8,Detached Duplex,Ikoyi,Lagos,1000000000.0,20.72326583794641,1,43,2,0
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,65000000.0,17.989897843244528,1,71,4,3
3,2,2,4,Detached Bungalow,Surulere,Lagos,30000000.0,17.216707972959764,1,93,1,0
5,5,6,3,Detached Duplex,Lekki,Lagos,100000000.0,18.420680753952364,1,71,2,0
4,5,5,4,Detached Duplex,Magodo,Lagos,200000000.0,19.11382792951231,1,76,2,0
4,4,5,4,Terraced Duplexes,Katampe,Abuja,120000000.0,18.603002309079653,0,61,6,1
3,3,4,4,Detached Bungalow,Ojodu,Lagos,15000000.0,16.52356082573315,1,86,1,0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,65000000.0,17.989897843244528,1,71,4,3
5,5,6,4,Detached Duplex,Lekki,Lagos,135000000.0,18.72078534381011,1,71,2,0
4,5,5,4,Terraced Duplexes,Guzape District,Abuja,120000000.0,18.603002309079653,0,29,6,1
4,4,5,3,Detached Duplex,Lekki,Lagos,55000000.0,17.822843761378564,1,71,2,0
6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos,450000000.0,19.92475814295086,1,95,2,0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,61000000.0,17.926384438531027,1,71,4,3
5,5,6,5,Detached Bungalow,Ojodu,Lagos,60000000.0,17.909855136853043,1,86,1,0
5,5,6,4,Detached Duplex,Lekki,Lagos,270000000.0,19.413932520666354,1,71,2,0
4,4,5,4,Detached Duplex,Ajah,Lagos,45000000.0,17.622173069956816,1,2,2,2
5,5,6,5,Detached Duplex,Lekki,Lagos,85000000.0,18.258161826219297,1,71,2,0
1,1,1,1,Detached Duplex,Magodo,Lagos,160000000.0,18.8906843794481,1,76,2,3
4,4,5,5,Detached Duplex,Lekki,Lagos,68000000.0,18.035018277846262,1,71,2,0
4,4,5,4,Terraced Duplexes,Ikoyi,Lagos,150000000.0,18.826145858727198,1,43,6,3
4,5,5,4,Block of Flats,Surulere,Lagos,65000000.0,17.989897843244528,1,93,0,0
6,6,7,1,Detached Duplex,Guzape District,Abuja,350000000.0,19.673443715304877,0,29,2,1
5,6,6,4,Detached Duplex,Lekki,Lagos,300000000.0,19.519293035953808,1,71,2,0
4,4,5,5,Detached Duplex,Ajah,Lagos,65000000.0,17.989897843244528,1,2,2,2
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,57000000.0,17.858561843342684,1,71,4,3
5,6,6,2,Terraced Duplexes,Gwarinpa,Abuja,60000000.0,17.909855136853043,0,31,6,1
5,5,6,4,Detached Duplex,Lekki,Lagos,75000000.0,18.132998684833918,1,71,2,0
5,5,6,4,Detached Duplex,Lekki,Lagos,155000000.0,18.858935681335133,1,71,2,0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,58000000.0,17.87595358575207,1,71,4,3
2,3,3,4,Terraced Duplexes,Gwarinpa,Abuja,65000000.0,17.989897843244528,0,31,6,1
6,5,5,4,Detached Duplex,Ikoyi,Lagos,1220000000.0,20.92211669651125,1,43,2,0
5,5,6,6,Detached Duplex,Lekki,Lagos,150000000.0,18.826145858727198,1,71,2,0
4,5,5,4,Semi Detached Duplex,Ikoyi,Lagos,235000000.0,19.275096076363752,1,43,4,3
5,5,6,4,Detached Duplex,Lekki,Lagos,145000000.0,18.7922443072814,1,71,2,0
5,6,7,3,Detached Duplex,Lekki,Lagos,120000000.0,18.603002309079653,1,71,2,0
5,6,6,6,Detached Duplex,Gwarinpa,Abuja,120000000.0,18.603002309079653,0,31,2,1
3,4,4,2,Terraced Duplexes,Ajah,Lagos,65000000.0,17.989897843244528,1,2,6,3
5,6,6,5,Detached Duplex,Lekki,Lagos,80000000.0,18.197537205138154,1,71,2,0
4,4,6,5,Detached Duplex,Lekki,Lagos,80000000.0,18.197537205138154,1,71,2,0
5,5,6,4,Detached Duplex,Lekki,Lagos,80000000.0,18.197537205138154,1,71,2,0
5,5,6,4,Detached Duplex,Lekki,Lagos,145000000.0,18.7922443072814,1,71,2,0
5,5,6,5,Detached Duplex,Lekki,Lagos,180000000.0,19.00846741441004,1,71,2,0
5,5,6,4,Detached Duplex,Lekki,Lagos,160000000.0,18.8906843794481,1,71,2,0
5,5,5,4,Terraced Duplexes,Lekki,Lagos,41000000.0,17.529082649058825,1,71,6,3
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,60000000.0,17.909855136853043,1,71,4,3
5,5,5,5,Detached Duplex,Lekki,Lagos,170000000.0,18.951309000896888,1,71,2,0
5,5,6,4,Detached Duplex,Lekki,Lagos,120000000.0,18.603002309079653,1,71,2,0
4,5,5,2,Terraced Bungalow,Lekki,Lagos,63000000.0,17.958645300228824,1,71,5,3
1,1,1,2,Detached Duplex,Lekki,Lagos,8000000.0,15.894952224644102,1,71,2,2
4,4,5,4,Terraced Duplexes,Lekki,Lagos,54000000.0,17.804494623047066,1,71,6,3
5,5,5,4,Semi Detached Duplex,Life Camp,Abuja,112500000.0,18.538463788497637,0,72,4,1
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,65000000.0,17.989897843244528,1,71,4,3
4,4,5,4,Detached Duplex,Ajah,Lagos,46000000.0,17.6441519761925,1,2,2,2
5,5,6,3,Detached Duplex,Lekki,Lagos,90000000.0,18.31532023940565,1,71,2,0
6,6,7,6,Detached Duplex,Ikoyi,Lagos,1395000000.0,21.056160252936586,1,43,2,0
4,4,4,3,Detached Duplex,Life Camp,Abuja,60000000.0,17.909855136853043,0,72,2,1
5,5,6,5,Detached Duplex,Ajah,Lagos,140000000.0,18.757152987716434,1,2,2,2
5,6,6,1,Detached Duplex,Magodo,Lagos,160000000.0,18.8906843794481,1,76,2,0
5,5,6,5,Detached Duplex,Ikoyi,Lagos,1100000000.0,20.818576017659826,1,43,2,0
2,3,3,2,Detached Bungalow,Ipaja,Lagos,18000000.0,16.705882371415992,1,46,1,2
4,4,5,4,Detached Duplex,Lekki,Lagos,120000000.0,18.603002309079653,1,71,2,0
5,6,6,4,Detached Duplex,Lekki,Lagos,78000000.0,18.17221939747438,1,71,2,0
5,5,6,6,Detached Duplex,Magodo,Lagos,180000000.0,19.00846741441004,1,76,2,0
4,4,5,2,Terraced Duplexes,Lekki,Lagos,45000000.0,17.622173069956816,1,71,6,3
3,2,3,4,Detached Bungalow,Ikotun,Lagos,23000000.0,16.951004817371683,1,42,1,2
5,5,5,4,Detached Duplex,Lekki,Lagos,105000000.0,18.46947091764561,1,71,2,0
5,6,7,4,Semi Detached Duplex,Lekki,Lagos,200000000.0,19.11382792951231,1,71,4,0
3,3,4,4,Terraced Duplexes,Magodo,Lagos,85000000.0,18.258161826219297,1,76,6,3
5,6,5,1,Detached Duplex,Lekki,Lagos,250000000.0,19.33697147982652,1,71,2,0
5,5,6,5,Detached Duplex,Ikoyi,Lagos,600000000.0,20.21244021484709,1,43,2,0
3,3,3,6,Detached Bungalow,Apo,Abuja,45000000.0,17.622173069956816,0,6,1,1
5,6,6,4,Detached Duplex,Kaura,Abuja,130000000.0,18.683045016112164,0,62,2,1
3,4,4,4,Block of Flats,Ajah,Lagos,25000000.0,17.034386422832473,1,2,0,2
5,1,1,6,Detached Duplex,Magodo,Lagos,150000000.0,18.826145858727198,1,76,2,0
6,6,7,9,Detached Duplex,Lekki,Lagos,350000000.0,19.673443715304877,1,71,2,0
4,4,5,2,Detached Duplex,Lekki,Lagos,90000000.0,18.31532023940565,1,71,2,0
3,4,4,3,Terraced Duplexes,Ikoyi,Lagos,90000000.0,18.31532023940565,1,43,6,3
5,5,6,4,Detached Duplex,Lekki,Lagos,110000000.0,18.5159909328476,1,71,2,0
4,5,6,4,Detached Duplex,Lekki,Lagos,75000000.0,18.132998684833918,1,71,2,0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,67000000.0,18.020203192280615,1,71,4,3
2,2,3,1,Detached Bungalow,Ajah,Lagos,16000000.0,16.588099342704055,1,2,1,2
4,4,5,4,Terraced Duplexes,Jabi,Abuja,160000000.0,18.8906843794481,0,50,6,1
3,3,3,5,Block of Flats,Alimosho,Lagos,48000000.0,17.6867115897055,1,3,0,2
4,4,5,5,Semi Detached Duplex,Ibeju Lekki,Lagos,30000000.0,17.216707972959764,1,33,4,3
4,4,5,4,Detached Duplex,Ajah,Lagos,85000000.0,18.258161826219297,1,2,2,2
4,5,5,4,Semi Detached Duplex,Mabushi,Abuja,80000000.0,18.197537205138154,0,75,4,1
4,4,5,3,Terraced Duplexes,Gwarinpa,Abuja,55000000.0,17.822843761378564,0,31,6,1
4,4,5,4,Detached Duplex,Lekki,Lagos,87000000.0,18.28141868811311,1,71,2,0
2,5,5,4,Detached Bungalow,Ojo,Lagos,25000000.0,17.034386422832473,1,85,1,0
4,4,4,2,Detached Duplex,Ikorodu,Lagos,40000000.0,17.50439003707821,1,41,2,2
3,3,4,4,Detached Bungalow,Ajah,Lagos,29000000.0,17.182806422433504,1,2,1,2
1,5,5,4,Semi Detached Bungalow,Kubwa,Abuja,45000000.0,17.622173069956816,0,65,3,1
5,5,6,7,Detached Duplex,Lekki,Lagos,200000000.0,19.11382792951231,1,71,2,0
4,5,5,4,Detached Bungalow,Gwarinpa,Abuja,45000000.0,17.622173069956816,0,31,1,1
4,5,5,5,Detached Duplex,Lokogoma District,Abuja,55000000.0,17.822843761378564,0,73,2,1
5,5,6,4,Detached Duplex,Ajah,Lagos,120000000.0,18.603002309079653,1,2,2,2
4,4,5,2,Terraced Duplexes,Lekki,Lagos,85000000.0,18.258161826219297,1,71,6,3
3,2,2,4,Detached Bungalow,Agege,Lagos,13000000.0,16.380459992348886,1,1,1,2
4,4,5,4,Terraced Duplexes,Guzape District,Abuja,75000000.0,18.132998684833918,0,29,6,1
6,6,5,4,Detached Duplex,Lekki,Lagos,130000000.0,18.683045016112164,1,71,2,0
4,5,5,4,Detached Duplex,Ikeja,Lagos,140000000.0,18.757152987716434,1,40,2,2
4,4,5,1,Detached Bungalow,Ajah,Lagos,55000000.0,17.822843761378564,1,2,1,2
4,4,5,4,Detached Duplex,Ikeja,Lagos,75000000.0,18.132998684833918,1,40,2,2
4,4,5,2,Terraced Duplexes,Ikoyi,Lagos,300000000.0,19.519293035953808,1,43,6,3
4,4,5,4,Detached Duplex,Lekki,Lagos,130000000.0,18.683045016112164,1,71,2,0
3,4,5,2,Terraced Duplexes,Ajah,Lagos,26500000.0,17.0926553286923,1,2,6,3
5,5,5,3,Terraced Duplexes,Lekki,Lagos,120000000.0,18.603002309079653,1,71,6,3
3,3,4,4,Semi Detached Duplex,Lekki,Lagos,46000000.0,17.6441519761925,1,71,4,3
5,5,6,4,Semi Detached Duplex,Victoria Island (VI),Lagos,220000000.0,19.20913810886209,1,95,4,3
5,5,5,4,Detached Duplex,Lekki,Lagos,94000000.0,18.358805350872576,1,71,2,0
3,3,4,6,Detached Bungalow,Ibeju Lekki,Lagos,22000000.0,16.906553056777135,1,33,1,2
5,5,5,4,Detached Duplex,Lekki,Lagos,180000000.0,19.00846741441004,1,71,2,0
5,4,4,4,Terraced Duplexes,Lekki,Lagos,110000000.0,18.5159909328476,1,71,6,3
